title,artist,release,year,position
Hotel California,Eagles,1977,2014,1
Bohemian Rhapsody,Queen,1975,2014,2
Stairway To Heaven,Led Zeppelin,1971,2014,3
Child In Time,Deep Purple,1972,2014,4
Avond,Boudewijn de Groot,1997,2014,5
Wish You Were Here,Pink Floyd,1975,2014,6
Piano Man,Billy Joel,1974,2014,7
Comfortably Numb,Pink Floyd,1979,2014,8
Shine On You Crazy Diamond,Pink Floyd,1975,2014,9
November Rain,Guns N' Roses,1992,2014,10
Nothing Else Matters,Metallica,1992,2014,11
Black,Pearl Jam,1991,2014,12
God Only Knows,The Beach Boys,1966,2014,13
Brothers In Arms,Dire Straits,1985,2014,14
Fix You,Coldplay,2005,2014,15
The River,Bruce Springsteen,1981,2014,16
Paradise By The Dashboard Light,Meat Loaf,1978,2014,17
One,Metallica,1994,2014,18
Mag Ik Dan Bij Jou,Claudia De Breij,2011,2014,19
Clocks,Coldplay,2003,2014,20
Oceaan,Racoon,2012,2014,21
One,U2,1992,2014,22
Viva La Vida,Coldplay,2009,2014,23
Thunderstruck,AC/DC,1990,2014,24
Happy,Pharrel Williams,2013,2014,25
Radar Love,Golden Earring,1973,2014,26
Sultans Of Swing,Dire Straits,1978,2014,27
Old And Wise,The Alan Parsons Project,1982,2014,28
Hurt,Johnny Cash,2003,2014,29
Go Your Own Way,Fleetwood Mac,1977,2014,30
Smells Like Teen Spirit,Nirvana,1991,2014,31
Formidable,Stromae,2013,2014,32
Brabant,Guus Meeuwis,2004,2014,33
Heroes,David Bowie,1977,2014,34
Someone Like You,Adele,2011,2014,35
The Scientist,Coldplay,2002,2014,36
Sympathy For The Devil,The Rolling Stones,1973,2014,37
Imagine,John Lennon,1971,2014,38
Het Dorp,Wim Sonneveld,1974,2014,39
Riders On The Storm ,The Doors,1971,2014,40
School,Supertramp,1974,2014,41
The Sound Of Silence,Simon & Garfunkel,1966,2014,42
Whole Lotta Rosie,AC/DC,1978,2014,43
Innuendo,Queen,1991,2014,44
With Or Without You,U2,1987,2014,45
Just Breathe,Pearl Jam,2009,2014,46
Pastorale,Ramses Shaffy & Liesbeth List,1969,2014,47
Bridge Over Troubled Water,Simon & Garfunkel,1970,2014,48
A Forest,The Cure,1980,2014,49
Let It Be,The Beatles,1970,2014,50
Africa,Toto,1982,2014,51
Telegraph Road,Dire Straits,1982,2014,52
Gimme Shelter,The Rolling Stones,1969,2014,53
Angie,The Rolling Stones,1973,2014,54
The Last Resort,Eagles,1976,2014,55
Another Brick In The Wall,Pink Floyd,1979,2014,56
Paint It Black,The Rolling Stones,1966,2014,57
Hey Jude,The Beatles,1968,2014,58
Alive,Pearl Jam,1992,2014,59
Over De Muur,Klein Orkest,1984,2014,60
Make You Feel My Love,Adele,2008,2014,61
Sunday Bloody Sunday,U2,1985,2014,62
Waves,Mr. Probz,2013,2014,63
Under The Bridge,Red Hot Chili Peppers,1992,2014,64
Sweet Child O' Mine,Guns N' Roses,1988,2014,65
Highway To Hell,AC/DC,1979,2014,66
(Sittin' On) The Dock Of The Bay,Otis Redding,1968,2014,67
Dochters,Marco Borsato,2008,2014,68
Love Of My Life,Queen,1975,2014,69
Private Investigations,Dire Straits,1982,2014,70
Purple Rain,Prince,1984,2014,71
Fool's Overture,Supertramp,1977,2014,72
Tears In Heaven,Eric Clapton,1992,2014,73
All Of Me,John Legend,2013,2014,74
Angels,Robbie Williams,1998,2014,75
Nights In White Satin,The Moody Blues,1968,2014,76
Het Regent Zonnestralen,Acda en De Munnik,1998,2014,77
House Of The Rising Sun,The Animals,1964,2014,78
Enter Sandman,Metallica,1991,2014,79
Chasing Cars,Snow Patrol,2006,2014,80
Somebody To Love,Queen,1976,2014,81
Home,Dotan,2014,2014,82
Goodnight Saigon,Billy Joel,1983,2014,83
Bitter Sweet Symphony,The Verve,1997,2014,84
The Rose,Bette Midler,1980,2014,85
Fragile,Sting,1988,2014,86
Killing In The Name Of,Rage Against The Machine,1992,2014,87
Rolling In The Deep,Adele,2010,2014,88
Yesterday,The Beatles,1965,2014,89
Mr. Blue Sky,Electric Light Orchestra,1978,2014,90
Stil In Mij,Van Dik Hout,1994,2014,91
Perfect Day,Lou Reed,1972,2014,92
Skyfall,Adele,2012,2014,93
Let Her Go,Passenger,2012,2014,94
The Load Out / Stay,Jackson Browne,1977,2014,95
Whole Lotta Love,Led Zeppelin,1969,2014,96
In The Air Tonight,Phil Collins,1981,2014,97
A Whiter Shade Of Pale,Procol Harum,1967,2014,98
Hallelujah,Jeff Buckley,1994,2014,99
Who Wants To Live Forever,Queen,1986,2014,100
Papa,Stef Bos,1991,2014,101
Creep,Radiohead,1993,2014,102
Belfast Child,Simple Minds,1989,2014,103
Paranoid,Black Sabbath,1970,2014,104
Smoke On The Water,Deep Purple,1973,2014,105
Set Fire To The Rain,Adele,2011,2014,106
The Pretender,Foo Fighters,2007,2014,107
Blackbird,The Beatles,1968,2014,108
Love You More,Racoon,2005,2014,109
Voor Haar,Frans Halsema,1977,2014,110
Don't Stop Me Now,Queen,1979,2014,111
Worn Down Piano,Mark & Clark Band,1977,2014,112
Sorry  ,Kyteman,2009,2014,113
Desperado,Eagles,1973,2014,114
Hurricane,Bob Dylan,1975,2014,115
Music,John Miles,1976,2014,116
